Country Name,Country Code,Indicator Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Bermuda,BMU,"International tourism, expenditures (current US$)",,,,,,,,243000000.00,248000000.00,217000000.00,239000000.00,394000000.00,453000000.00,459000000.00,407000000.00,417000000.00,326000000.00,327000000.00,322000000.00
Bolivia,BOL,"International tourism, expenditures (current US$)",72000000.00,87000000.00,96000000.00,98000000.00,117000000.00,116000000.00,114000000.00,114000000.00,197000000.00,232000000.00,257000000.00,360000000.00,385000000.00,381000000.00,388000000.00,421000000.00,410000000.00,502000000.00,507000000.00
Brazil,BRA,"International tourism, expenditures (current US$)",3982000000.00,4988000000.00,6208000000.00,6019000000.00,3551000000.00,4548000000.00,3765000000.00,2929000000.00,2874000000.00,3752000000.00,5905000000.00,7501000000.00,10434000000.00,13269000000.00,12897000000.00,19338000000.00,25070000000.00,26202000000.00,29361000000.00
Barbados,BRB,"International tourism, expenditures (current US$)",110000000.00,114000000.00,120000000.00,126000000.00,132000000.00,141000000.00,149000000.00,146000000.00,153000000.00,163000000.00,274000000.00,284000000.00,290000000.00,279000000.00,293000000.00,351000000.00,,,
Brunei Darussalam,BRN,"International tourism, expenditures (current US$)",,,,,,,456000000.00,398000000.00,469000000.00,382000000.00,374000000.00,408000000.00,430000000.00,459000000.00,477000000.00,,,591000000.00,
Botswana,BWA,"International tourism, expenditures (current US$)",153000000.00,92000000.00,104000000.00,138000000.00,155000000.00,209000000.00,215000000.00,197000000.00,235000000.00,280000000.00,301000000.00,280000000.00,282000000.00,52700000.00,79450000.00,88500000.00,81480000.00,72900000.00,47200000.00
Central African Republic,CAF,"International tourism, expenditures (current US$)",43000000.00,44000000.00,51000000.00,44000000.00,33000000.00,33000000.00,29000000.00,29000000.00,31000000.00,32000000.00,46000000.00,47000000.00,54000000.00,56000000.00,61000000.00,67000000.00,68000000.00,69000000.00,
Canada,CAN,"International tourism, expenditures (current US$)",12658000000.00,13815000000.00,14151000000.00,13384000000.00,13999000000.00,15125000000.00,14634000000.00,14257000000.00,16309000000.00,19267000000.00,22739000000.00,26067000000.00,31099000000.00,33844000000.00,30065000000.00,36975000000.00,41234000000.00,43010000000.00,35170000000.00
Central Europe and the Baltics,CEB,"International tourism, expenditures (current US$)",11718000000.00,14321000000.00,13173000000.00,11670000000.00,10766000000.00,9940000000.00,10491000000.00,11825000000.00,13623000000.00,17138000000.00,19018000000.00,21888000000.00,26104000000.00,33472000000.00,26539000000.00,26253000000.00,27799000000.00,26865000000.00,28275000000.00
Switzerland,CHE,"International tourism, expenditures (current US$)",9478000000.00,9798000000.00,8944000000.00,8754000000.00,7646000000.00,7360000000.00,7085000000.00,7210000000.00,8614000000.00,9924000000.00,10579000000.00,11199000000.00,12298000000.00,13346000000.00,13058000000.00,13528000000.00,16612000000.00,16675000000.00,17935000000.00
Chile,CHL,"International tourism, expenditures (current US$)",934000000.00,977000000.00,1132000000.00,1174000000.00,1032000000.00,904000000.00,939000000.00,932000000.00,1109000000.00,1251000000.00,1355000000.00,1573000000.00,2042000000.00,1789000000.00,1504000000.00,1808000000.00,2047000000.00,2377000000.00,2476000000.00
China,CHN,"International tourism, expenditures (current US$)",3688000000.00,4474000000.00,9220000000.00,9943000000.00,11621000000.00,14169000000.00,14992000000.00,16759000000.00,16716000000.00,21360000000.00,24721000000.00,28242000000.00,33269000000.00,40987000000.00,47108000000.00,59840000000.00,79010000000.00,109898000000.00,138298000000.00
Cote d'Ivoire,CIV,"International tourism, expenditures (current US$)",312000000.00,347000000.00,317000000.00,331000000.00,337000000.00,291000000.00,289000000.00,490000000.00,551000000.00,571000000.00,549000000.00,583000000.00,606000000.00,612000000.00,589000000.00,569000000.00,,,
Cameroon,CMR,"International tourism, expenditures (current US$)",140000000.00,155000000.00,175000000.00,210000000.00,192000000.00,241000000.00,199000000.00,205000000.00,272000000.00,394000000.00,480000000.00,521000000.00,466000000.00,563000000.00,476000000.00,265000000.00,622000000.00,668000000.00,795000000.00
"Congo, Rep.",COG,"International tourism, expenditures (current US$)",69000000.00,86000000.00,68000000.00,69000000.00,71000000.00,59000000.00,82000000.00,85000000.00,118000000.00,176000000.00,112000000.00,132000000.00,168000000.00,,,,,,
Colombia,COL,"International tourism, expenditures (current US$)",1162000000.00,1431000000.00,1560000000.00,1455000000.00,1339000000.00,1452000000.00,1556000000.00,1355000000.00,1349000000.00,1469000000.00,1934000000.00,2157000000.00,2460000000.00,2775000000.00,2801000000.00,3188000000.00,3631000000.00,4363000000.00,4485000000.00
Comoros,COM,"International tourism, expenditures (current US$)",,,,,,,,,8000000.00,9000000.00,20000000.00,24000000.00,28000000.00,31000000.00,30000000.00,33000000.00,37000000.00,37000000.00,
Cabo Verde,CPV,"International tourism, expenditures (current US$)",20000000.00,24000000.00,25000000.00,32000000.00,47000000.00,41000000.00,55000000.00,63000000.00,89000000.00,93000000.00,82000000.00,106000000.00,123000000.00,143000000.00,145000000.00,138000000.00,142000000.00,132000000.00,126000000.00
Costa Rica,CRI,"International tourism, expenditures (current US$)",336000000.00,357000000.00,401000000.00,466000000.00,509000000.00,551000000.00,434000000.00,430000000.00,434000000.00,481000000.00,556000000.00,577000000.00,751000000.00,718000000.00,462000000.00,533000000.00,522000000.00,567000000.00,571000000.00
Caribbean small states,CSS,"International tourism, expenditures (current US$)",767000000.00,893000000.00,954000000.00,990000000.00,1067000000.00,1205000000.00,1160000000.00,1214000000.00,1226000000.00,1370000000.00,1630000000.00,1551000000.00,1608000000.00,1442000000.00,1353000000.00,1355000000.00,1434626494.02,1439567802.27,1795341995.97
Curacao,CUW,"International tourism, expenditures (current US$)",,,,,,,,137000000.00,176000000.00,195000000.00,164000000.00,191000000.00,223000000.00,229000000.00,258000000.00,282000000.00,321000000.00,357000000.00,374000000.00
Cyprus,CYP,"International tourism, expenditures (current US$)",474000000.00,500000000.00,511000000.00,536000000.00,560000000.00,543000000.00,568000000.00,582000000.00,700000000.00,907000000.00,1001000000.00,1031000000.00,1554000000.00,1895000000.00,1638000000.00,1457000000.00,1721000000.00,1681000000.00,1604000000.00
Czech Republic,CZE,"International tourism, expenditures (current US$)",1635000000.00,2960000000.00,2355000000.00,1908000000.00,1493000000.00,1276000000.00,1386000000.00,1797000000.00,2177000000.00,2682000000.00,2603000000.00,2874000000.00,3704000000.00,4797000000.00,4158000000.00,4166000000.00,4660000000.00,4379000000.00,4655000000.00
Germany,DEU,"International tourism, expenditures (current US$)",66527000000.00,64726000000.00,59000000000.00,60253000000.00,61218000000.00,57601000000.00,56529000000.00,59496000000.00,73203000000.00,80624000000.00,84537000000.00,85683000000.00,96191000000.00,105645000000.00,92829000000.00,90881000000.00,99838000000.00,93844000000.00,105267000000.00
