CountryName,CountryCode,IndicatorName,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Switzerland,CHE,"International tourism, expenditures (current US$)",9478000000,9798000000,8944000000,8754000000,7646000000,7360000000,7085000000,7210000000,8614000000,9924000000,10550000000,11132000000,12236000000,13282000000,12988000000,13460000000,16472000000,17985000000,19088000000,20241000000
Chile,CHL,"International tourism, expenditures (current US$)",934000000,977000000,1132000000,1174000000,1032000000,904000000,939000000,932000000,1109000000,1251000000,1355000000,1573000000,2042000000,1789000000,1504000000,1808000000,2047000000,2400000000,2435000000,2776000000
China,CHN,"International tourism, expenditures (current US$)",3688000000,4474000000,9220000000,9943000000,11621000000,14169000000,14992000000,16759000000,16716000000,21360000000,21759000000,24322000000,29786000000,36157000000,43702000000,54880000000,72585000000,1.02E+11,1.29E+11,1.65E+11
Cote d'Ivoire,CIV,"International tourism, expenditures (current US$)",312000000,347000000,317000000,331000000,337000000,291000000,289000000,490000000,551000000,571000000,549000000,583000000,606000000,612000000,589000000,569000000,580000000,560000000,583000000,
Cameroon,CMR,"International tourism, expenditures (current US$)",140000000,155000000,175000000,210000000,192000000,241000000,199000000,205000000,272000000,394000000,480000000,521000000,466000000,563000000,476000000,265000000,622000000,668000000,795000000,
"Congo, Rep.",COG,"International tourism, expenditures (current US$)",69000000,86000000,68000000,69000000,71000000,59000000,82000000,85000000,118000000,176000000,112000000,132000000,168000000,,197000000,205000000,246000000,258000000,236000000,
Colombia,COL,"International tourism, expenditures (current US$)",1162000000,1431000000,1560000000,1455000000,1339000000,1452000000,1556000000,1355000000,1349000000,1469000000,1934000000,2157000000,2460000000,2775000000,2801000000,3188000000,3631000000,4363000000,4485000000,5170000000
Comoros,COM,"International tourism, expenditures (current US$)",,,,,,,,,8000000,9000000,20000000,24000000,28000000,31000000,30000000,33000000,37000000,37000000,,
Cabo Verde,CPV,"International tourism, expenditures (current US$)",20000000,24000000,25000000,32000000,47000000,41000000,55000000,63000000,89000000,93000000,82000000,106000000,123000000,143000000,145000000,138000000,142000000,136000000,126000000,113000000
Costa Rica,CRI,"International tourism, expenditures (current US$)",336000000,357000000,401000000,466000000,509000000,551000000,434000000,430000000,434000000,481000000,556000000,577000000,751000000,718000000,462000000,533000000,522000000,560000000,546000000,594000000
Curacao,CUW,"International tourism, expenditures (current US$)",,,,,,,,137000000,176000000,195000000,164000000,191000000,223000000,229000000,258000000,282000000,321000000,357000000,371000000,391000000
Cyprus,CYP,"International tourism, expenditures (current US$)",474000000,500000000,511000000,536000000,560000000,543000000,568000000,582000000,700000000,907000000,1001000000,1031000000,1554000000,1895000000,1638000000,1457000000,1721000000,1681000000,1619000000,
